,Unnamed: 0,Id,Category,Tweet
0,1,635930169241374720,neutral,"['io', 'app', 'transport', 'secur', 'mm', 'need', 'to', 'check', 'if', 'myrd', 'parti', 'network', 'pod', 'support', 'it']"
1,2,635950258682523648,neutral,"['mar', 'if', 'you', 'have', 'an', 'io', 'devic', 'you', 'should', 'download', 'our', 'app', 'too']"
2,3,636030803433009153,negative,"['my', 'phone', 'doe', 'not', 'run', 'on', 'latest', 'io', 'which', 'may', 'account', 'for', 'problem', 'the', 'other', 'day', 'time', 'it', 'wa', 'replac']"
3,4,636100906224848896,positive,"['not', 'sure', 'how', 'to', 'start', 'your', 'public', 'on', 'io', 'well', 'be', 'live', 'help', 'with', 'ask', 'me', 'anyth', 'session', 'today', 'and', 'friday']"
4,5,636176272947744772,neutral,"['two', 'dollar', 'tuesday', 'is', 'here', 'with', 'forklift', 'quickkey', 'for', 'io', 'and', 'suit', 'for', 'page', 'for', 'just', 'today']"
5,6,636276311560859648,neutral,"['if', 'your', 'not', 'alreadi', 'sign', 'up', 'to', 'test', 'my', 'io', 'game', 'now', 'your', 'chanc']"
6,7,636302400546975744,neutral,"['youtub', 'game', 'offici', 'launch', 'on', 'web', 'android', 'io', 'on', 'august', 'youtub', 'is', 'final', 'go', 'to', 'r', 'webseri']"
7,8,636356154151575552,neutral,"['youtub', 'game', 'launch', 'tomorrow', 'with', 'io', 'and', 'android', 'app', 'to', 'go', 'headtohead', 'with', 'twitch', 'io', 'game']"
8,9,636360240921972736,neutral,"['yashan', 'from', 'bbc', 'the', 'vpn', 'access', 'on', 'io', 'may', 'be', 'limit', 'dure', 'china', 'militari', 'parad', 'ani', 'chanc', 'to', 'have', 'a', 'chat', 'on', 'that']"
9,10,636440904967061504,positive,"['parkrun', 'app', 'for', 'io', 'download', 'where', 'have', 'you', 'been', 'befor', 'great', 'app', 'easier', 'access', 'of', 'info', 'amp', 'readi', 'for', 'saturday', 'run']"
10,11,636484190050119681,positive,"['today', 'launch', 'with', 'app', 'for', 'io', 'and', 'android', 'devic', 'in', 'the', 'us', 'and', 'uk', 'here', 'is', 'what', 'you', 'need', 'to', 'know']"
11,12,636567666048794624,positive,"['got', 'a', 'project', 'you', 'want', 'to', 'work', 'on', 'need', 'help', 'with', 'swift', 'need', 'an', 'excus', 'to', 'hang', 'with', 'io', 'dev', 'on', 'a', 'sat', 'hang', 'with', 'us']"
12,13,636724154260176896,positive,"['met', 'with', 'io', 'develop', 'today', 'we', 'may', 'have', 'a', 'go']"
13,14,636828460820729856,positive,"['crossskyhigh', 'is', 'go', 'io', 'saturday', 'for', 'now', 'tri', 'thi', 'indiedev']"
14,15,636878337105920000,positive,"['what', 'the', 'best', 'way', 'to', 'get', 'audio', 'record', 'from', 'ard', 'parti', 'app', 'off', 'of', 'an', 'io', 'devic', 'jailbreak', 'isnt', 'an', 'option']"
15,16,636907592036388865,positive,"['five', 'great', 'free', 'app', 'and', 'game', 'for', 'io', 'augustth', 'edit', 'it', 'that', 'time', 'of', 'the', 'week', 'again', 'news', 'lchbuzz']"
16,17,637003894611148800,neutral,"['look', 'interest', 'but', 'ive', 'alway', 'end', 'up', 'back', 'on', 'io', 'keyboard', 'alway', 'glitch', 'with', 'iosrd', 'parti', 'one']"
