fold;score;acuracia;precisao;recall;f1_score
1;0.546063651591;0.546063651591;0.493589332534;0.466926498351;0.463745912608
2;0.592964824121;0.592964824121;0.558761117179;0.506133736675;0.512133959039
3;0.569514237856;0.569514237856;0.499605510546;0.466413360168;0.467992475255
4;0.56783919598;0.56783919598;0.516691505216;0.479431216931;0.476384575569
5;0.597989949749;0.597989949749;0.540193227411;0.511252245539;0.518560135768
6;0.57621440536;0.57621440536;0.541090547813;0.500838055011;0.506155836253
7;0.562814070352;0.562814070352;0.511656034922;0.485414818101;0.488463725593
8;0.549413735343;0.549413735343;0.512846370348;0.465970350404;0.464611216683
9;0.604690117253;0.604690117253;0.534760256494;0.494714349978;0.500280674294
10;0.521812080537;0.521812080537;0.445693712867;0.428663570691;0.418921257978
